Title,Artist,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
This Magic Moment,The Drifters,4vBDAxKllafwCMDWD76atv,0.271,0.599,0,-4.63,1,0.0326,0.455,3.08e-06,0.11,0.705,136.169,151560
It's My Party,Lesley Gore,1Pq47iFLC5U7j8xeNiNcuS,0.692,0.501,9,-11.708,1,0.0625,0.368,0.0,0.0393,0.961,128.388,140000
Speedoo,The Cadillacs,6kp8H3pc0uk2Xf8D6t7Jad,0.489,0.64,3,-7.552,1,0.0424,0.747,2.34e-06,0.119,0.946,126.055,141584
Speedoo,Navarro,6kp8H3pc0uk2Xf8D6t7Jad,0.489,0.64,3,-7.552,1,0.0424,0.747,2.34e-06,0.119,0.946,126.055,141584
Twilight Time - Single Version,The Platters,3MpGQae6zAFd7Z1FdLV9fV,0.455,0.361,9,-12.562,1,0.0473,0.747,0.0,0.238,0.285,115.854,168293
Sincerely,The Moonglows,5XyAUuCuGaBEx42WhFQ1fO,0.423,0.196,3,-12.298,1,0.0302,0.75,0.0,0.102,0.476,81.03,191000
Sweet Nothin's,Brenda Lee,4ZiDhG5Ift5I6reAEOBBec,0.778,0.413,5,-10.551,1,0.0514,0.642,0.00104,0.148,0.961,125.235,144600
You Send Me - Remastered,Sam Cooke,1lx1VrA6qirxGch4Db3FDz,0.565,0.286,4,-10.871,0,0.0289,0.883,0.0,0.178,0.487,95.964,163267
Whispering Bells,The Del-Vikings,3HYOGLROB66y1gFYxZyWhs,0.516,0.693,10,-9.837,1,0.0558,0.727,1.87e-05,0.443,0.777,127.008,144267
Whispering Bells,Krips Johnson,3HYOGLROB66y1gFYxZyWhs,0.516,0.693,10,-9.837,1,0.0558,0.727,1.87e-05,0.443,0.777,127.008,144267
Then He Kissed Me,The Crystals,7jeOETwLUP84mPQzxlD5nh,0.431,0.678,4,-7.945,1,0.0365,0.7,6.37e-06,0.199,0.633,135.919,158685
I Get a Thrill - 2006 Remaster,The Honeydrippers,2lGeK0Xh60XIYJEuHDWloz,0.489,0.705,2,-8.54,0,0.0583,0.266,3.4e-06,0.31,0.787,78.459,160733
Sea of Love - 2006 Remaster,The Honeydrippers,0VMGij4wSGBM5pSTcqjxeD,0.422,0.411,7,-9.004,1,0.0257,0.111,0.00113,0.324,0.393,82.737,183880
I Got a Woman - 2006 Remaster,The Honeydrippers,0v8GfFfZWpYGzBGmnCQjFW,0.792,0.716,9,-10.004,1,0.0578,0.0805,0.000106,0.28,0.731,114.792,180973
Rockin' at Midnight - 2006 Remaster,The Honeydrippers,2KRL3DGRNhiKDQQA50MLS6,0.487,0.789,9,-8.112,1,0.108,0.0515,4.25e-05,0.329,0.843,161.759,359853
There Goes My Baby (Single Version),The Drifters,6vgI88J33XNI6CKPCMlogc,0.4,0.681,6,-3.406,0,0.0327,0.514,0.0,0.625,0.635,63.996,130320
3AM,Matchbox Twenty,77QCfMGmEG334ZR9QR5zAR,0.521,0.673,8,-8.685,1,0.0284,0.00573,0.0,0.12,0.543,108.031,225947
6th Avenue Heartache,The Wallflowers,2hj7HLh8FplBcxxlIBdnS6,0.441,0.883,5,-5.647,1,0.0432,0.0426,0.000135,0.249,0.545,150.057,340107
1983,Neon Trees,4DJLcyfnyEGlUejAEAX4az,0.463,0.981,10,-3.922,1,0.18,7.37e-05,0.0,0.102,0.703,153.048,222560
The 59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel,58iKVrf8safM2oN78BAmK8,0.445,0.373,3,-14.703,1,0.054,0.79,0.0127,0.369,0.696,75.87,113427
99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,0.466,0.438,4,-12.858,1,0.0608,0.089,5.62e-06,0.113,0.587,193.1,233000
According To You,Orianthi,72phhQtfwZcRweweRxxkmU,0.619,0.917,5,-2.582,1,0.0507,0.0233,1.21e-05,0.0986,0.552,131.002,200347
Afternoon Delight,Starland Vocal Band,0GmRPoU0PrO1crMm7mB7zg,0.493,0.44,5,-11.775,1,0.029,0.485,0.0,0.105,0.745,147.032,193040
Ain't No Stoppin' Us Now,McFadden & Whitehead,6EOdY7I7Xm1vPP1cyaGbWZ,0.747,0.701,1,-7.7,1,0.0453,0.127,0.0,0.084,0.87,112.964,220867
Alfie,Lily Allen,5VUhLbg67bCVqsZr1EL5vc,0.772,0.886,0,-5.946,1,0.0282,0.0226,0.0,0.0709,0.976,120.015,166160
All Right,Christopher Cross,556Fdf9iUVDA2aSUDzlkNV,0.724,0.471,6,-11.914,0,0.0371,0.18,0.0,0.129,0.559,132.714,258716
All Star,Smash Mouth,3cfOd4CMv2snFaKAnMdnvK,0.731,0.867,11,-5.881,1,0.032,0.0395,0.0,0.0861,0.776,104.019,200373
All Summer Long,Kid Rock,32rHadAy6b8xYgSq22C0r8,0.7,0.864,7,-3.629,1,0.0283,0.0212,0.0,0.0956,0.887,102.997,297587
Angel Of The Morning,Juice Newton,6NVB6W7G3svCKe5zB7kY8q,0.456,0.233,8,-12.634,1,0.0255,0.433,6.42e-05,0.0538,0.424,75.174,254000
As Long as You Follow - 2002 Remaster,Fleetwood Mac,41VqepoGLCsK4ZnQRcm5EJ,0.603,0.668,5,-5.615,1,0.0229,0.271,2.12e-06,0.238,0.56,102.722,258440
Baby Driver,Simon & Garfunkel,1IqlFiXd8zUKY4YEzybhYO,0.444,0.692,8,-11.009,1,0.0485,0.336,0.000346,0.0958,0.796,163.651,194600
Back Off Boogaloo,Ringo Starr,6lQQaXS35ts6dM68bibo6v,0.389,0.886,4,-7.18,1,0.0416,0.102,9.47e-06,0.0619,0.89,176.584,199707
